City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
197,Balkanabat,TM,39.51,54.37,44.69,34,46,2.57,scattered clouds
198,Oranjestad,AW,12.52,-70.03,82.35,78,20,18.41,few clouds
199,Pokhara,NP,28.23,83.98,67.48,67,25,4.81,scattered clouds
200,Nioro,GM,13.35,-15.75,76.44,65,30,5.39,scattered clouds
201,San Ramon,US,37.78,-121.98,57.65,84,100,1.01,overcast clouds
202,Luderitz,NA,-26.65,15.16,55.99,77,45,14.99,scattered clouds
203,Kununurra,AU,-15.77,128.73,89.58,62,66,8.05,broken clouds
204,Varanasi,IN,25.33,83.00,69.89,60,33,4.61,mist
205,Campbell River,CA,50.02,-125.24,40.53,94,90,2.3,overcast clouds
206,High Level,CA,58.52,-117.14,30.31,100,90,4.61,light snow
207,Kawalu,ID,-7.38,108.21,80.83,82,100,1.1,moderate rain
208,Muros,ES,42.78,-9.06,49.84,86,0,11.05,clear sky
209,Pavilosta,LV,56.89,21.19,49.95,89,100,25.66,light rain
210,Akcaabat,TR,41.02,39.57,58.87,82,40,4.61,scattered clouds
211,Ribeira Grande,PT,38.52,-28.70,69.73,87,88,26.89,overcast clouds
212,Buraydah,SA,26.33,43.98,59.45,37,4,6.46,clear sky
213,Mao,ES,39.89,4.27,55.96,76,90,33.38,moderate rain
214,Tuatapere,NZ,-46.13,167.68,60.82,69,100,6.85,overcast clouds
215,Mporokoso,ZM,-9.37,30.12,66.0,49,58,4.16,broken clouds
216,Savinka,RU,50.08,47.10,40.19,88,100,13.42,light rain
217,Manali,IN,13.17,80.27,77.09,94,100,15.19,moderate rain
218,Esperance,AU,-33.87,121.90,64.24,57,41,10.67,scattered clouds
219,Karratha,AU,-20.74,116.85,84.63,43,7,16.62,clear sky
220,Storforshei,NO,66.40,14.52,35.65,98,100,3.44,overcast clouds
221,Cabedelo,BR,-6.98,-34.83,81.27,85,11,11.16,few clouds
222,Boa Vista,BR,2.82,-60.67,80.58,74,20,12.66,few clouds
223,Gbely,SK,48.72,17.12,40.71,82,43,2.84,scattered clouds
224,Jodhpur,IN,26.29,73.03,80.15,22,51,0.96,broken clouds
225,Kayes,ML,14.00,-11.00,84.96,34,81,3.0,broken clouds
226,Cabo San Lucas,MX,22.89,-109.91,79.52,51,32,6.71,scattered clouds
227,East London,ZA,-33.02,27.91,64.53,89,100,0.83,light rain
228,Jacareacanga,BR,-6.22,-57.75,72.1,99,100,1.36,overcast clouds
229,Alofi,NU,-19.06,-169.92,82.29,69,63,14.97,broken clouds
230,Wanning,CN,18.80,110.40,82.38,65,86,5.77,overcast clouds
231,Suslovo,RU,56.22,88.12,26.46,83,100,19.39,overcast clouds
232,Mariveles,PH,14.48,120.48,84.6,64,20,7.81,few clouds
233,Dingle,PH,11.00,122.67,85.3,75,98,13.06,overcast clouds
234,Onguday,RU,50.75,86.15,22.19,73,22,2.57,few clouds
235,Noumea,NC,-22.28,166.46,78.78,62,79,9.51,broken clouds
236,Camana,PE,-16.62,-72.71,64.08,88,73,8.75,broken clouds
237,Arraial Do Cabo,BR,-22.97,-42.03,68.31,74,16,0.85,few clouds
238,Victoria Point,AU,-27.58,153.30,79.92,72,30,3.0,light rain
239,Chapais,CA,49.78,-74.85,40.78,89,94,9.06,overcast clouds
240,Lata,PT,40.16,-8.33,51.82,72,5,4.68,clear sky
241,Taoudenni,ML,22.68,-3.98,73.15,20,0,4.21,clear sky
242,Kalabo,ZM,-14.97,22.68,73.09,51,66,3.27,broken clouds
243,Gasa,PS,31.50,34.47,64.9,65,0,5.86,clear sky
244,Mayo,US,38.89,-76.51,49.95,84,100,5.99,overcast clouds
245,Thinadhoo,MV,0.53,72.93,83.44,69,100,17.63,overcast clouds
246,Espinosa,BR,-14.93,-42.82,71.29,86,93,4.5,overcast clouds
247,Korla,CN,41.76,86.15,29.34,33,5,9.33,clear sky
248,Surman,LY,32.76,12.57,70.84,82,76,8.72,broken clouds
249,Gazli,UZ,40.13,63.45,38.73,24,1,5.19,clear sky
250,Naze,JP,28.37,129.48,74.32,70,71,16.42,broken clouds
251,Riyadh,SA,24.69,46.72,60.94,29,3,3.85,clear sky
252,Haines Junction,CA,60.75,-137.51,26.55,93,100,3.44,overcast clouds
253,Veliki Preslav,BG,43.17,26.82,61.21,87,100,3.69,overcast clouds
254,Dalian,CN,38.91,121.60,37.33,75,40,11.18,mist
255,Harper,LR,4.38,-7.72,77.07,87,26,3.13,scattered clouds
256,Carora,VE,10.18,-70.08,72.73,82,88,3.71,overcast clouds
257,Uruzgan,AF,32.83,66.00,52.12,46,5,0.38,clear sky
258,Brownwood,US,31.71,-98.99,56.52,82,1,4.61,clear sky
259,Pisco,PE,-13.70,-76.22,65.01,82,32,1.14,mist
260,Itarema,BR,-2.92,-39.92,78.96,81,85,11.18,overcast clouds
261,Lagoa,PT,39.05,-27.98,68.45,84,77,29.55,broken clouds
262,Muroto,JP,33.28,134.15,71.64,64,37,19.86,scattered clouds
263,Henties Bay,NA,-22.12,14.28,57.15,92,32,6.78,scattered clouds
264,Puno,PE,-15.83,-70.03,52.3,33,93,2.91,overcast clouds
265,Havelock,US,34.88,-76.90,60.93,94,100,5.01,overcast clouds
266,Galyugayevskaya,RU,43.70,44.93,38.34,85,99,7.56,overcast clouds
267,Egvekinot,RU,66.32,-179.17,-9.09,90,49,2.93,scattered clouds
268,Hue,VN,16.47,107.60,86.11,70,20,5.75,few clouds
269,Port Lincoln,AU,-34.73,135.87,61.54,52,67,11.27,broken clouds
270,Ati,TD,13.22,18.34,79.36,18,7,8.97,clear sky
271,Nara,JP,34.69,135.80,70.92,65,76,8.84,broken clouds
272,Bereda,ES,43.27,-7.54,35.35,98,14,3.09,few clouds
273,San Antonio,US,29.42,-98.49,59.29,85,1,0.0,clear sky
274,Isagarh,IN,24.83,77.88,75.18,33,50,1.92,scattered clouds
275,Hamilton,US,39.18,-84.53,43.79,78,0,2.01,clear sky
276,Hasaki,JP,35.73,140.83,66.49,66,100,10.04,light rain
277,Rock Sound,BS,24.90,-76.20,77.67,74,100,16.31,overcast clouds
278,Cayenne,GF,4.93,-52.33,81.09,87,0,0.0,light rain
279,Guaiuba,BR,-4.04,-38.64,80.55,90,49,3.15,scattered clouds
280,Avesta,SE,60.15,16.17,36.32,95,100,6.35,snow
281,Watertown,US,42.37,-71.18,41.86,76,0,1.01,clear sky
282,Codrington,AU,-38.27,141.97,57.6,57,60,11.05,broken clouds
283,San Francisco,US,37.77,-122.42,58.96,75,100,1.01,overcast clouds
284,Buala,SB,-8.14,159.59,85.6,62,1,8.99,clear sky
285,North Myrtle Beach,US,33.82,-78.68,56.01,93,90,1.01,heavy intensity rain
286,Baykit,RU,61.67,96.37,25.03,94,100,11.01,light snow
287,Tello,CO,3.07,-75.14,72.54,69,92,3.89,overcast clouds
288,Bogatyye Saby,RU,56.01,50.45,39.54,96,84,11.7,broken clouds
289,Belozerskoye,RU,55.82,65.58,33.19,46,86,17.25,overcast clouds
290,Port Hardy,CA,50.70,-127.42,44.6,93,75,2.3,broken clouds
291,Bubaque,GW,11.28,-15.83,83.77,74,9,11.65,clear sky
292,Ouadda,CF,8.08,22.40,67.26,91,88,2.59,overcast clouds
293,Omagari,JP,39.45,140.48,59.76,52,0,0.47,clear sky
294,Berlevag,NO,70.86,29.09,32.38,72,100,12.97,light snow
295,La Ronge,CA,55.10,-105.28,37.65,93,75,4.61,broken clouds
296,Dodoma,TZ,-6.17,35.74,67.21,60,91,5.37,overcast clouds
297,Narsaq,GL,60.92,-46.05,22.12,70,100,10.25,overcast clouds
298,Lerwick,GB,60.15,-1.15,50.0,82,99,20.09,overcast clouds
299,Kilindoni,TZ,-7.91,39.67,79.48,78,23,7.63,few clouds
300,Fare,PF,-16.70,-151.02,80.06,69,32,5.84,scattered clouds
301,Pochutla,MX,15.74,-96.47,77.83,88,35,4.38,scattered clouds
302,Rocha,UY,-34.48,-54.33,48.76,90,18,1.52,few clouds
303,Rawa Mazowiecka,PL,51.76,20.25,41.63,78,2,13.22,clear sky
304,Honolulu,US,21.31,-157.86,79.84,75,5,4.0,clear sky
305,Tevriz,RU,57.51,72.40,34.83,58,100,12.64,overcast clouds
306,College,US,64.86,-147.80,25.59,91,90,3.44,light snow
307,Moose Factory,CA,51.26,-80.61,48.2,76,90,12.66,overcast clouds
308,Palauig,PH,15.44,119.90,87.46,64,35,7.29,scattered clouds
309,Taunggyi,MM,20.78,97.03,73.49,66,10,0.16,clear sky
310,Wajid,SO,3.81,43.25,73.74,80,0,12.73,clear sky
311,Atar,MR,20.52,-13.05,70.7,30,4,8.1,clear sky
312,Abu Dhabi,AE,24.47,54.37,75.22,73,0,4.61,clear sky
313,Pasighat,IN,28.07,95.33,77.2,36,56,2.71,broken clouds
314,Pionerskiy,RU,54.95,20.23,46.24,83,100,24.74,light rain
315,Bengkulu,ID,-3.80,102.27,73.36,88,100,5.28,overcast clouds
316,Alanya,TR,36.54,32.00,70.11,33,13,7.34,few clouds
317,Bodden Town,KY,19.28,-81.25,78.8,94,75,1.99,broken clouds
318,Riccione,IT,44.01,12.64,51.15,94,90,5.75,overcast clouds
319,Padang,ID,-0.95,100.35,82.45,90,100,3.62,overcast clouds
320,Kungurtug,RU,50.60,97.52,14.72,69,99,0.81,overcast clouds
321,Necochea,AR,-38.55,-58.74,47.03,72,100,7.65,overcast clouds
322,Wloclawek,PL,52.65,19.07,43.34,75,87,15.1,light rain
323,Flin Flon,CA,54.77,-101.86,37.62,91,97,7.14,overcast clouds
324,Northam,GB,51.03,-4.22,52.25,74,79,16.84,broken clouds
325,Sumbe,AO,-11.21,13.84,74.8,85,100,2.77,overcast clouds
326,Rumphi,MW,-11.02,33.86,70.61,52,100,4.12,overcast clouds
327,Talnakh,RU,69.49,88.40,20.82,91,100,17.96,light snow
328,Jardim,BR,-21.48,-56.14,68.65,87,88,5.91,overcast clouds
329,Yantai,CN,37.53,121.40,63.12,62,100,7.99,moderate rain
330,Zelenoborsk,RU,61.47,64.03,33.12,97,100,12.46,light snow
331,Bathsheba,BB,13.22,-59.52,81.21,78,40,18.41,scattered clouds
332,Atasu,KZ,48.68,71.64,32.14,16,22,2.42,few clouds
333,Qasigiannguit,GL,68.82,-51.19,19.44,95,100,4.03,light snow
334,Magdiwang,PH,12.49,122.51,82.22,81,100,13.06,overcast clouds
335,Zhezkazgan,KZ,47.80,67.71,30.88,18,0,5.08,clear sky
336,Katsuura,JP,35.13,140.30,69.12,74,100,8.57,moderate rain
337,Kosa,RU,59.94,55.00,38.88,85,98,12.28,overcast clouds
338,Shenjiamen,CN,29.96,122.30,70.39,84,15,15.46,few clouds
339,Turbat,PK,26.00,63.04,77.49,17,0,8.01,clear sky
340,Mount Gambier,AU,-37.83,140.77,60.71,51,90,8.05,overcast clouds
341,Nampula,MZ,-15.12,39.27,69.75,94,0,4.61,clear sky
342,Provideniya,RU,64.38,-173.30,19.98,87,98,9.69,overcast clouds
343,Pacific Grove,US,36.62,-121.92,58.69,87,85,3.0,overcast clouds
344,Kapaa,US,22.08,-159.32,82.38,83,90,3.0,light rain
345,Aksarka,RU,66.56,67.80,34.74,98,99,17.13,overcast clouds
346,Rawson,AR,-43.30,-65.10,66.74,29,92,24.27,overcast clouds
347,Moroni,KM,-11.70,43.26,75.2,88,20,1.14,few clouds
348,Xuanhua,CN,40.61,115.04,21.74,77,100,12.75,overcast clouds
349,Sabratah,LY,32.79,12.49,70.23,82,79,9.35,broken clouds
350,Hay River,CA,60.82,-115.80,30.18,93,75,4.61,light snow
351,Xiaoyi,CN,34.62,109.70,40.8,38,51,10.65,broken clouds
352,Ulladulla,AU,-35.35,150.47,80.1,88,88,11.45,moderate rain
353,Zhanaozen,KZ,43.30,52.80,32.05,27,0,10.45,clear sky
354,Goderich,CA,43.75,-81.72,44.92,76,5,8.05,clear sky
355,Norman Wells,CA,65.28,-126.83,24.84,100,75,2.3,light snow
356,Makakilo City,US,21.35,-158.09,78.55,70,40,11.5,scattered clouds
357,North Bend,US,43.41,-124.22,47.86,99,72,8.1,broken clouds
358,Okha,RU,53.57,142.95,26.67,72,100,27.69,overcast clouds
359,Rafaela,AR,-31.25,-61.49,62.06,88,27,7.9,scattered clouds
360,Grindavik,IS,63.84,-22.43,35.55,86,40,11.5,scattered clouds
361,Talara,PE,-4.58,-81.27,64.98,85,12,16.08,few clouds
362,Byron Bay,AU,-28.65,153.62,82.51,68,59,16.4,broken clouds
363,Loikaw,MM,19.67,97.21,78.58,70,52,2.24,broken clouds
364,Mogadishu,SO,2.04,45.34,79.47,76,13,11.27,few clouds
